name,connections,color,x,y,description,wikipediaTitle,books,internetRefs,courses
Actview,Webcam Programming;C#;Socket,yellow,2450,160,IP Camera Project,,,,
Acustic Guitar,Music,yellow,650,860,,Acoustic_guitar,,http://www.cifras.com.br;http://www.cifraclub.com.br,
Aforge.NET,C#,yellow,1550,460,,AForge.NET,,,
AJAX,TCPIP;Http,yellow,1550,360,,Ajax_(programming),,,
Assembly,Programming,yellow,650,310,,Assembly_language,,,
AutoCad,Technical Drawing,yellow,950,-425,,AutoCAD,,,
Bandolim,Music,yellow,650,760,,Mandolin#Portugal,,,
Banjo,Cavaco,yellow,950,810,,Banjo,,,
C,Programming,yellow,650,260,,C_(programming_language),,,
C#,C++,red,1250,210,,C_Sharp_(programming_language),Visual C# 2010 Step By Step;Criação de Sistemas Supervisorios em Visual C# 2010 Express;Como Programar com ASP.NET e C#;TCP/IP Sockets in C# Practical Guide for Programmers,https://msdn.microsoft.com/,
C++,C,yellow,950,210,,C%2B%2B,C++Complete Reference (3rd Ed.),,
Calculus,Math,yellow,650,110,,Calculus,,,
Cavaco,Music,yellow,650,810,,Cavaquinho,,http://www.cifras.com.br;http://www.cifraclub.com.br,
Compos.In,Music Score;Javascript;SVG;PHP;MusicXML,yellow,2450,60,Musical project,,,,
Control,Dynamic Systems,yellow,1250,10,,Control_engineering,Engenharia de Controle Moderno;Sistemas de Controle Modernos;Engenharia de Sistemas de Controle,,
D3,SVG;Javascript,yellow,1850,-150,,D3.js,Getting Started with D3;Learning D3.js Mapping,http://d3js.org/;https://www.dashingd3js.com/,
Design,,yellow,350,-300,,Design,,,
Dynamic Systems,Calculus;Physics,yellow,950,10,,Dynamical_system,,,
Economics,Math,yellow,650,-90,,Economics,,,
Electric Guitar,Acustic Guitar,yellow,950,860,,Electric_guitar,,,
Electronics,Physics,yellow,950,110,,Electronics,,,
English,,yellow,350,610,,English_language,,,
ESP8266,Mcco;LuaLang,yellow,1550,10,,ESP8266,,,
FS,NodeJS,yellow,1850,160,NodeJS File System Lib,,,,
Guard,Jiu-Jitsu,yellow,650,1010,,Guard_(grappling),,,
HTML,MarkupLang,yellow,950,380,,HTML,"Learning HTML5 Game Programming;Pro HTML5 Programming, 2nd Edition;Professional HTML5 Mobile Game Development",https://www.youtube.com/watch?v=epDCjksKMok&list=PLHz_AreHm4dlAnJ_jJtV29RFxnPHDuk9o,
Http,TCPIP;HTML,yellow,1250,410,,Hypertext_Transfer_Protocol,,,
Java,C++,yellow,1250,160,,Java_(programming_language),,,
Javascript,C++,yellow,1250,260,,JavaScript,"Professional JavaScript for Web Developers, 3rd Edition;JavaScript- The Definitive Guide, 6th Edition",,
Jiu-Jitsu,,yellow,350,1010,,Brazilian_jiu-jitsu,,,
LeafSwitch,mTouch;Power Electronics;Mcco,yellow,2450,10,Touch switch project,,,,
LuaLang,Programming,yellow,650,360,,Lua_(programming_language),,,
Management,Social Relation;Sales,yellow,1250,-170,,Management,"Monge e o Executivo;As 48 Leis do Poder;A Arte da Guerra;Osiris Silva, um Lider da Inovação;Boas Dicas para Boas Falas;Como Lidar com Pessoas Dificeis;Como fazer amigos e influenciar pessoas",,
MarkupLang,Programming,yellow,650,410,,Markup_language,,,
Math,,yellow,350,10,,Mathematics,Ideias Geniais na Matemática,,
Mcco,Electronics;C;Assembly,yellow,1250,310,,Microcontroller,Microcontroladores PIC18,,
Mechanics,Physics,yellow,1250,60,,Mechanics,Projeto de Engenharia Mecânica,,
mTouch,PIC;Electronics,yellow,1850,10,PIC mcco touch module,,,,
Music,,yellow,350,790,,Music_theory,Compêndio de Teoria Elementar da Música - Osvaldo Lacerda;Standard Music Notation Practice,,
Music Score,Music,yellow,650,710,,Sheet_music,,,
MusicXML,XML;Music Score,yellow,1250,360,,MusicXML,,http://www.musicxml.com/,
NodeJS,Javascript,yellow,1550,310,,Node.js,NodeJS Beginner Book - A comprehensive Node.js Tutorial,http://book.mixu.net/node/,
OV7670,Electronics;Mcco,yellow,1550,110,Camera for mcco,,,,
PHP,HTML;C,yellow,1550,410,,PHP,,,
Physics,Math,lightblue,650,160,,Physics,,,
PIC,Mcco,yellow,1550,60,,PIC_microcontroller,Microcontroladores PIC18,,
Power Electronics,Electronics,yellow,1250,110,,Power_electronics,,,
Programming,,yellow,350,330,,Computer_programming,Visual C# 2010 Step By Step;Criação de Sistemas Supervisorios em Visual C# 2010 Express ,,
Qeek.me,WebRTC;NodeJS;Javascript;PHP;Websocket,yellow,2450,110,File Transfer Project,,,https://qeek.me,
RaphaëlJS,SVG;Javascript,yellow,1850,-100,,Raphaël_(JavaScript_library),RaphaelJS Graphics and Visualization on the Web,,
Sales,Social Relation;Statistics;Economics,gold,950,-90,,Sales,A Biblia de Vendas;Como fazer amigos e influenciar pessoas,,
Social Relation,,blue,350,-170,,Social_relation,Como fazer amigos e influenciar pessoas,,
Socket,TCPIP;C#;C++,yellow,1550,160,,Network_socket,Redes de Computadores - Tanenbaum;TCP/IP Sockets in C# Practical Guide for Programmers,,
Socket.IO,Websocket;AJAX,yellow,2150,10,,Socket.IO,,,
SolidEdge,Technical Drawing,yellow,950,-375,,Solid_Edge,,,
Statics,Calculus;Physics,yellow,950,60,,Statics,Estática nas Estruturas;Projeto de Engenharia Mecânica,,
Statistics,Math,yellow,650,-40,,Statistics,,,
SVG,XML;Design;Javascript;Math,yellow,1550,-40,,Scalable_Vector_Graphics,SVG Essentials;Building Web Applications with SVG,,
TCPIP,Math,yellow,950,160,,Internet_protocol_suite,Redes de Computadores - Tanenbaum;TCP/IP Sockets in C# Practical Guide for Programmers,,
Technical Drawing,Design;Math,yellow,650,-400,,Technical_drawing,,,
UART,Electronics;C#;PIC,yellow,1850,260,,Universal_asynchronous_receiver/transmitter,,,
USB,Electronics;PIC;C#,yellow,1850,210,,USB,USB Complete - The Developers Guide;Microcontroladores PIC18;Criação de Sistemas Supervisorios em Visual C# 2010 Express,,
Webcam Programming,Aforge.NET,yellow,1850,110,,Webcam,,,
WebRTC,TCPIP;Javascript,yellow,1550,260,,WebRTC,WebRTC Blueprints;Realtime Communication with WebRTC;WebRTC Integrators Guide;WebRTC Cookbook,,
Websocket,Socket;NodeJS,yellow,1850,60,,WebSocket,,,
WPF,XML;C#,yellow,1550,210,,Windows_Presentation_Foundation,Visual C# 2010 Step By Step,,
XML,MarkupLang,yellow,950,430,,XML,,,
